ID P113V114 P115V114 P116V114 P117V114 P118V114 P119V114 P121V114
ARGI_SOYBN 0.7426326295 -0.1342630487 -0.4122319475 -1.3696467352 1.5849268938 -0.833394046 0.4219762541
CONG7_ARAHY 0.8975062927 -1.0076005936 -0.1602371982 -1.6228483647 1.0855567795 0.3162053795 0.4914177048
GRC15_ORYSJ 1.6388504184 -0.2668089764 -0.716739897 -1.4802826878 0.6324241619 -0.1481902647 0.3407472456
PHY_MOUSC 1.4970075618 -0.271990911 -0.4360678861 -1.5168967391 1.064016166 -0.1167648567 -0.2193033348
CONG_ARAHY 1.3929009779 -0.9445909436 -0.2339378613 -1.5252340819 0.7994957323 0.1646672153 0.3466989614
CCA14_ORYSJ 0.8667560083 -0.9237964757 -0.5433186432 -1.4854764287 0.9670817793 0.1516719807 0.9670817793
ARS_CHLRE 0.08059661 -0.9682716532 -0.0224523779 -1.5700826339 1.3901703612 0.3666610716 0.7233786221
MEM12_ARATH 0.3375413203 -0.4329929969 -0.6659595016 -1.7179063189 1.153468594 0.4456098303 0.8802390727
HXK2_ARATH 0.6710095215 -0.5377871182 -0.5377871182 -1.6954923109 1.2424657108 0.1245181505 0.7330731644
PGLR3_MAIZE 0.6183822337 -1.0007690634 -0.7962005464 -1.33471877 0.9776008838 0.5865291969 0.9491760654
PRN1_ARATH 0.6912005767 0.1907110731 -1.1220147953 -1.6966213951 0.3948153993 0.8145928011 0.7273163403
GRXC7_ARATH -2.0465276085 -0.2672763429 0.3818968148 0.7142662727 1.012872562 -0.0343469042 0.2391152061
PER52_ARATH -1.5106398365 -1.1492761283 0.8058838982 0.6867480507 -0.0296046847 0.069808273 1.1270804276
DEF37_ARATH -2.1950474239 0.1969568828 0.1847859066 0.4958918057 0.8548798862 0.1191676364 0.3433653061
CRY2_ARATH -1.6167893421 0.4065295348 0.1633771846 -0.524101662 1.678990795 -0.2713836948 0.1633771846
BGAL_SOLLC -0.7793509632 0.0330552502 -0.6781355938 -0.7536725291 2.0385150685 -0.2451207362 0.3847095035
CATA_SECCE -1.2957913195 0.2539151838 0.2781703836 -0.6832032621 1.8821977527 -0.4111643333 -0.0241244052
LAC2_ORYSJ -2.1302929561 0.0844504726 0.2370627785 0.04208912 0.9989452375 0.1556822523 0.6120630952
PGLR_TOBAC -1.5963822427 0.3387830406 -0.1017624872 -0.6087275213 1.7093705818 0.1446814724 0.1140371565
AGAL_COFAR -1.8471627367 -0.870804117 0.2394530181 0.5332186786 1.0356783891 0.4839549874 0.4256617805
CCA31_ORYSJ -1.0993116278 0.9809580432 -0.2999629064 -1.2274560514 1.4602372847 -0.1110761417 0.2966113994
SCRK2_ORYSI -1.7685549471 -0.1942804869 -0.0709351786 -0.5563620758 1.2971765136 0.6203707105 0.6725854644
PME_DAUCA -1.533570041 -0.416073294 -0.5182095236 -0.3831712222 1.1747256533 0.4675307591 1.2087676685
LAC4_ARATH -1.6353525458 1.2151045897 -0.3160663951 -0.8733695444 0.5457011616 0.2843513328 0.7796314012
CCB12_ARATH -1.7915391757 -0.3809348042 -0.1589481121 -0.3574454823 1.077491065 0.6772550836 0.9341214258
HXK3_ORYSJ -1.6378729528 -0.4039459429 -0.2008695743 -0.5595391326 1.2013372985 0.6053412679 0.9955490362
ACT1_MAIZE -1.4848618127 -0.1988527985 -0.9102311877 -0.234016622 1.2993279806 0.6755942238 0.8530402165
CYTM_SOLTU -1.4919504626 0.0214371834 -0.3188684125 -1.0063608618 0.8849664014 1.1142696866 0.7965064655
GRC10_ORYSJ -1.5362731654 0.4512807613 1.4735716242 0.8161153193 -0.198808668 -0.6662292031 -0.3396566682
RB11B_TOBAC -1.9992565252 0.8649023022 0.8635127535 0.4188900889 -0.0607061206 -0.447586205 0.3602437064
LEGA2_PEA -1.6436168608 0.9286865709 0.8983801031 0.375436397 0.6887073597 -0.9669169423 -0.2806766277
U76E1_ARATH 0.0840188377 0.8341593602 1.3100405595 0.5407284271 -0.4730460369 -1.6111848043 -0.6847163432
PSK3_ORYSJ 0.1914151189 1.1859906721 1.2291101804 0.3307375898 -0.8350032115 -1.1730443266 -0.9292060232
LEC2_CYMRO -0.0065757719 1.0900549198 0.8531769471 0.7993623559 -0.3839752974 -1.6914609159 -0.6605822377
TAP2_ANTMA -0.3899855475 0.3757516524 0.469301734 1.0408405373 0.4383721734 -2.0488606736 0.114580124
VILI2_ARATH -1.5679353636 0.8674096972 1.0719606497 0.1999368038 0.7380939298 -0.9693531626 -0.3401125544
VCLB_GOSHI -1.2910963183 1.1909837948 1.4554758001 -0.0624176761 -0.2246936083 -0.2415052951 -0.8267466972
MATK_EQUAR 0.2204721425 0.819945937 0.9166134883 -0.2676219618 0.754110984 -1.8594118771 -0.5841087128
LECS_STYJP -1.7853492868 0.5945839221 0.7689079255 0.9234692804 0.0552322568 -0.9329809452 0.3761368472
HXK1_SPIOL -1.4482429157 0.8420301578 1.6072783885 -0.3352701837 0.2496416079 -0.5485324121 -0.3669046426
NIR_MAIZE 0.6909061256 0.6275841794 1.2914760802 -1.2920882215 0.2336408809 -1.2920882215 -0.259430823
PAPA3_CARPA -0.642601345 -0.4709458224 -0.7323452338 -1.2272986295 1.2329088497 0.6863692018 1.1539129792
DFRA_PETHY -0.1885650034 -0.8588808878 -0.9689907819 -1.0066444025 1.2526840003 0.6224052112 1.1479918641
HXK8_ORYSJ -1.4290481306 -0.2005117153 -0.8454292146 -0.4453393023 1.2707214223 0.70396395 0.9456429905
AGGL_RICCO 0.0307047794 -0.6110801891 -0.8261266471 -1.4523549545 0.9075916523 0.7450061307 1.2062592283
CCP11_ORYSJ -1.1911048964 -0.7145052072 -0.8189265916 -0.3708415204 1.1695991708 0.8209167188 1.1048623261
CUL3A_ARATH -1.009207868 -0.5090786177 -0.6382333794 -0.9648302564 1.2499011347 0.7477275942 1.1237213926
NO21_SOYBN -0.2399414798 -0.9345822749 -0.774423366 -1.0789194641 1.0203275406 0.6509165068 1.3566225374
PHY_PICAB -0.9701481651 -0.7994642636 -0.7994642636 -0.5926230551 1.1041168869 0.8126589233 1.2449239371
UREA_CANEN -0.3591762834 -0.9591867489 -1.1245117448 -0.6383353292 1.1887804302 0.7524229771 1.1400066991
SY121_ARATH 0.3578024494 -0.9407208535 -1.391835354 -0.6327106411 0.831819225 0.4512952914 1.3243498827
CCB13_ARATH 0.3182225356 -0.9378128189 -1.0448466353 -1.1210181733 0.7513899106 0.8799962452 1.154068936
AMYB_MEDSA -0.4474665454 -1.1125747516 -0.9689003818 -0.4089801048 1.5757923737 0.5309005158 0.8312288941
SYP73_ARATH -0.1730846875 -0.9658889142 -1.5860200314 0.0543151867 0.843872715 0.6507625531 1.1760431783
